,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,monthly_revenue
4373,776166449631598536,Home in Vancouver · ★4.88 · 3 bedrooms · 3 beds · 2 baths,,213422034,Cong,within an hour,100%,100%,f,5,13,,Kerrisdale,49.22283,-123.14469,Entire home,Entire home/apt,8,,,3.0,[],$207.00,3,365,3.0,365.0,25,41,57,137,25,25,4.88,4.92,4.88,4.8,4.72,5.0,4.8,t,5,2.08,1608
4309,765333797111079962,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,,488656012,Jaedyn,within an hour,100%,100%,t,1,1,,Downtown,49.28219,-123.12406,Entire rental unit,Entire home/apt,4,,,2.0,[],$257.00,3,26,3.0,1125.0,10,10,14,269,55,54,5.0,4.98,4.98,5.0,5.0,4.98,4.96,f,1,4.48,3114
147,2502137,Guest suite in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,"Restaurants near by include Savio Volpe, les faux bourgeois, los cuervos taqueria, bells and whistles and matchstix coffee roasters to name a few.  Commercial drive and Main street, with endless restaurants and trendy shops are a short walk East and West.",7110433,Suzanna,,,100%,t,1,2,"Vancouver, British Columbia, Canada",Mount Pleasant,49.25877,-123.08299,Entire guest suite,Entire home/apt,2,,,1.0,[],$90.00,30,365,30.0,1125.0,16,43,70,332,53,1,4.94,5.0,4.92,4.94,4.96,4.77,4.81,t,1,0.46,365
5866,964457863802306131,Rental unit in Vancouver · 2 bedrooms · 2 beds · 2 baths,,35787950,Lorenzo,within a few hours,60%,0%,f,1,2,,Downtown,49.27348,-123.11633,Entire rental unit,Entire home/apt,4,,,2.0,[],$150.00,31,365,31.0,365.0,29,59,89,269,0,0,,,,,,,,f,1,,614
3088,53382359,Guest suite in Vancouver · ★4.85 · 1 bedroom · 2 beds · 1 bath,"Main floor entire private quiet guest suite with lots of natural light. <br />(No sharing with other people). <br /><br />Around 500 sq. ft. <br /><br />1 bedroom with queen size bed. (60""Wx80""L)<br /><br />Private full bathroom. <br /><br />Large kitchen with Microwave, Toaster, Water Kettle, Keurig K Cup Coffee Machine....<br /><br />Complimentary instant coffee, K cup coffee and tea bags are provided. <br /><br />Large living room with Futon small sofa bed (40""Wx68""L, sorry,  not suitable for a tall person) & 60"" 4K UHD Smart TV with Roku channels.",44936816,Danny,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.278065,-123.047577,Entire guest suite,Entire home/apt,3,,,2.0,[],$200.00,1,1125,1.0,1125.0,0,0,0,0,84,46,4.85,4.91,4.79,4.94,4.94,4.82,4.68,t,1,3.34,0
5270,905984914174030431,Home in Vancouver · ★4.78 · 1 bedroom · 2 beds · 1 private bath,"Prestige Shaughnessy Neighbourhood in Vancouver, Oasis in the City Center!",150034915,Gan,within an hour,100%,98%,t,2,4,"Vancouver, British Columbia, Canada",Shaughnessy,49.24672,-123.13805,Private room in home,Private room,3,,,2.0,[],$98.00,1,1125,1.0,1125.0,11,41,60,311,23,23,4.78,4.87,4.83,4.96,4.96,4.96,4.7,f,2,3.71,2629
407,8210879,Home in Vancouver · 3 bedrooms · 3 beds · 2.5 baths,"Great neighbourhood!  Everything is close.  Walkscore of 91 but, honestly, should be 96 or 97.<br /><br />Very easy access to downtown, beaches, UBC and lots of local shops and restaurants",7021457,Leila,within an hour,100%,50%,t,4,4,"Vancouver, British Columbia, Canada",Kitsilano,49.2688,-123.18376,Entire home,Entire home/apt,5,,,3.0,[],$230.00,90,1125,90.0,1125.0,0,0,1,134,1,0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,f,2,0.01,2843
6322,1009392766129570885,Home in Vancouver · ★4.80 · 2 bedrooms · 4 beds · 1.5 baths,"Located in the heart of Sunset and Langara neighbourhood for those who love  diverse and vibrant cultures. Central and easily accessible to UBC, Langara, Richmond, Downtown.<br /><br />Delicious meals for laid back foodies: This neighborhood is known for popular authentic and casual cuisines that are local favourites and groceries are all < 10 mins walk away. Chinese, Vietnamese, Indian, Korean, Filipino, Mexican and more (ask me for recommendations!) ($)<br /><br />Convenient for Cyclers: Located on a bike route, we are easily accessible to beautiful greenways such as Arbutus and False Creek in Granville Island, Matsumi Mitsubishi, Central Park and more. <br /><br />Students and Parents: 15 walk from Langara College and just 1 bus to UBC. Quiet neighbouhood to study. <br /><br />Golfing: There are many golf courses and pitch and putts near by including Langara, McCleery, Queen Elizabeth, Fraserview, Musquem, and lots more in Richmond.",26926495,Celine,within an hour,100%,100%,f,1,1,"Vancouver, British Columbia, Canada",Sunset,49.227938572918426,-123.0947056529332,Entire home,Entire home/apt,6,,,4.0,[],$96.00,1,30,1.0,1125.0,9,32,61,61,5,5,4.8,4.8,5.0,4.6,5.0,4.8,4.6,f,1,3.85,5031
3456,623315425043333486,Rental unit in Vancouver · ★4.38 · Studio · 1 bed · 1 bath,"Vancouver's vibrant West End is located at the west end of downtown Vancouver, just east of Stanley Park and Lost Lagoon. The West End is surrounded by water on three sides: English Bay, Coal Harbour, and Lost Lagoon in world-famous Stanley Park. <br /><br />Safeway and Whole Foods are both within a two-minute / 140m / .08mi walk from the building's front door. The entrance to Stanley Park is just a seven-minute / 550m / 0.34mi walk from the building's front door.<br /><br />The West End is the heart of Vancouver's LGBTQ2S+ community, including Davie Village and Denman Street, which together provide local shopping and restaurants. This area also has high-end retail and boutique shopping on Robson Street and Alberni Street. The night life, movie theatres, and intimate concert venues on Granville Street are just a 20 minute / 1.7km / 1mi walk away.",238308886,Terry,within a day,100%,90%,t,39,98,"Vancouver, British Columbia, Canada",West End,49.29158,-123.13427,Entire rental unit,Entire home/apt,2,,,1.0,[],$110.00,30,365,30.0,365.0,30,60,90,269,8,8,4.38,4.38,4.13,4.38,4.38,5.0,4.25,f,37,0.76,37
4182,747100539193960417,Condo in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 bath,"What's nearby:<br />Roger's Arena and BC Place (4 minute walk)<br />Chinatown - local businesses, fresh produce, bars, restaurants, great nightlife (2 minute walk)<br />Downtown Vancouver - high-end shopping, restaurants, museums (15 minute walk)<br />Science World (13 minute walk)<br />Costco (5 minute walk)<br />Seawall<br />Skytrain (4 minute walk)<br />Yaletown - bars, restaurants, boutique shopping (17 minute walk)<br />Granville Island - shopping, market, sightseeing (13 minute drive)",2232353,Ruby,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Downtown Eastside,49.28031,-123.10536,Entire condo,Entire home/apt,4,,,2.0,[],$371.00,1,31,1.0,1125.0,29,59,89,355,17,15,4.88,4.94,4.88,4.76,5.0,4.88,4.76,t,1,1.28,678
3576,644498839223761591,Guest suite in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,,97289882,Dana,within an hour,100%,100%,t,1,1,,Kensington-Cedar Cottage,49.25204,-123.07269,Entire guest suite,Entire home/apt,2,,,1.0,[],$66.00,3,30,3.0,1125.0,6,16,46,46,49,36,4.9,4.96,5.0,4.98,4.98,4.85,4.8,f,1,2.77,2175
3271,569187847103076470,Condo in Vancouver · ★4.91 · 1 bedroom · 2 beds · 1 bath,,8597414,Lindsay,within a few hours,100%,96%,t,2,2,,Mount Pleasant,49.26928,-123.10216,Entire condo,Entire home/apt,3,,,2.0,[],$145.00,2,365,6.8,365.0,0,0,0,0,55,25,4.91,4.96,4.96,4.89,4.98,4.93,4.84,f,1,2.69,2254
1031,22298696,Condo in Vancouver · ★4.38 · 1 bedroom · 1 bed · 1 bath,,139891966,Ishtar,within an hour,100%,100%,f,30,30,,Fairview,49.26045,-123.12819,Entire condo,Entire home/apt,1,,,1.0,[],$100.00,30,1125,30.0,1125.0,0,15,45,225,13,2,4.38,4.54,4.38,4.77,4.85,4.77,3.77,f,30,0.21,868
4427,782746430185181289,Serviced apartment in Vancouver · ★5.0 · Studio · 1 bed · 1 bath,"With Vancouver’s Beach District, Yaletown, and downtown core minutes from your doorstep, Level Vancouver Downtown – Howe boasts an unbeatable location in the heart of downtown Vancouver. The most significant landmark being Roundhouse Community Center, home to Engine 374; the first transcontinental passenger train to enter city limits. This trendy neighborhood is within close proximity to BC Place Stadium, Stanley Park, Rogers Arena, Vancouver Convention Center, and more. It is sure to meet the needs of both the business and leisure traveler. <br /><br />If you’re feeling adventurous, try these local hot-spots!<br /><br />Soul Cycle<br />This isn’t your average workout, it’s a lifestyle. And if you like challenging yourself, enjoy unique playlists and thrive under motivation then this is the place for you. <br />1128 Mainland St, Vancouver, BC<br /><br />Elisa Steakhouse<br />This eccentric steakhouse has taken your standard experience to a new level, adding a feminine twist and serving",2502595,Level Hotels And Furnished Suites,within an hour,100%,86%,t,41,46,"Vancouver, British Columbia, Canada",Downtown,49.2764611,-123.1295442,Entire serviced apartment,Entire home/apt,2,,,1.0,[],$240.00,30,1125,30.0,1125.0,7,37,67,342,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,41,0.39,1076
855,19236655,Rental unit in Vancouver · ★4.89 · 1 bedroom · 1 bed · 2 baths,"This beautiful 625sf, 1 bedroom + den condo rental is located on the platinum mile, on Vancouver's famous seawall and within walking distance to fine dining, cafes, Robson street shops and the downtown financial district.",118361687,Peggy,within an hour,100%,100%,t,3,3,"Vancouver, British Columbia, Canada",West End,49.28731,-123.12592,Entire rental unit,Entire home/apt,2,,,1.0,[],,30,365,30.0,365.0,0,0,0,0,28,0,4.89,4.89,4.82,4.96,4.89,4.96,4.69,f,1,0.35,257
3926,700108555522559659,Condo in Vancouver · ★4.56 · 3 bedrooms · 4 beds · 2 baths,,476430459,Bobby,within an hour,100%,100%,f,1,1,,Downtown,49.289,-123.12413,Entire condo,Entire home/apt,7,,,4.0,[],$168.00,2,365,2.1,365.0,5,27,55,308,66,52,4.56,4.48,4.61,4.82,4.82,4.92,4.52,t,1,4.45,2733
78,995174,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 2 baths,,600607,Martello,within an hour,100%,70%,f,36,78,,West End,49.28837,-123.12766,Entire rental unit,Entire home/apt,4,,,2.0,[],,30,90,30.0,90.0,0,0,0,0,15,2,4.6,4.6,4.6,4.93,4.8,4.8,4.8,f,33,0.12,2920
2247,42019705,Condo in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,"Core of Downtown Vancouver, walk to Stanley park, Vancouver Art Gallery, Yale Town, Robson Street, Pacific Centre Mall, Lookout Centre, Waterfront Station, Gas Town...<br />You can feel and enjoy the heartbeat of the city whether it's to enjoy the beach, the park, nightlife, dining, Chinatown. the museum, shop...it's all at your doorstep!",77605261,Sushma,,,,f,1,1,"Vancouver, British Columbia, Canada",Downtown,49.28462,-123.11235,Entire condo,Entire home/apt,4,,,2.0,[],$259.00,90,1125,90.0,1125.0,30,60,90,338,4,0,5.0,5.0,4.5,5.0,5.0,4.75,4.75,f,1,0.09,1502
4943,866859147211138694,Rental unit in Vancouver · ★4.84 · 1 bedroom · 2 beds · 1 bath,"This upscale urban neighborhood offers a mix of residential, commercial, and entertainment options, making it a popular destination for locals and visitors alike. <br /><br />We are located in Yaletown ,  known for its historic brick buildings and converted warehouses that have been repurposed into trendy loft apartments, boutique shops, and restaurants. The area is also home to many high-end residential towers, with luxury condos boasting breathtaking views of the city and waterfront.<br /><br />The neighborhood offers an eclectic mix of dining options, with everything from casual cafes and bistros to upscale restaurants and bars. The local food scene showcases a variety of global cuisines, including sushi, Italian, French, and Pacific Northwest seafood.<br /><br />In addition Yaletown, Gastown, and Chinatown is home to several other major attractions, including the Rogers Arena, BC Place, Bustling Seawall, Vancouver Public Library, Roundhouse Community Centre, which offers a range of",470858240,Jenny,within an hour,100%,100%,t,1,1,"Vancouver, British Columbia, Canada",Downtown,49.2745482,-123.127821,Entire rental unit,Entire home/apt,4,,,2.0,[],$245.00,2,300,4.0,300.0,0,1,1,132,32,32,4.84,4.91,4.88,4.75,4.91,4.88,4.81,f,1,4.23,1667
6100,983596358949677513,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,,527140354,Cozy Living,within an hour,100%,100%,f,4,16,,Dunbar Southlands,49.24295930952885,-123.17477959709464,Private room in home,Private room,2,,,1.0,[],$63.00,1,365,1.0,365.0,25,49,79,99,0,0,,,,,,,,t,4,,99
6144,989281400097097839,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,,95217850,Mauricio,within a day,97%,51%,f,43,44,,Downtown,49.2746415,-123.1151479,Entire rental unit,Entire home/apt,2,,,1.0,[],$115.00,30,365,30.0,365.0,3,5,5,99,0,0,,,,,,,,f,42,,0
4581,811946641249719401,Serviced apartment in Vancouver · 1 bedroom · 1 bed · 1 bath,"The best Sea Wall anywhere in the world miles to explore all along our gorgeous ocean, shopping, grocery shopping, excellent restaurants no matter your budget",15204064,Lenore,within an hour,100%,98%,t,3,3,"Vancouver, British Columbia, Canada",Downtown,49.2778214,-123.1296535,Entire serviced apartment,Entire home/apt,2,,,1.0,[],$275.00,30,1125,30.0,1125.0,30,60,90,365,0,0,,,,,,,,t,1,,48
788,18503614,Guest suite in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,"The setting is a quiet and safe residential neighborhood near Broadway @ Dunbar. Plenty of free parking on the street. A brief walk to bus stops, shopping, and restaurants. Order takeout sushi and walk 20 min to Jericho Beach to watch the sunset. The University of British Columbia is around 15 minutes by road. We do live above the separate suite, you may hear a little noise- we really try to be very mindful of our guests below us. The house is very quiet from 9 pm till morning.",918437,Annamaria,within an hour,90%,97%,t,1,1,"Vancouver, British Columbia, Canada",Kitsilano,49.26252,-123.18165,Entire guest suite,Entire home/apt,2,,,1.0,[],$99.00,1,1125,1.0,1125.0,7,7,7,7,335,40,4.94,4.98,4.97,5.0,5.0,4.92,4.89,f,1,4.17,340
2279,42360460,Condo in Vancouver · ★4.74 · 1 bedroom · 2 beds · 1 bath,"Our condo is in the Crosstown area of downtown, right across from International Village mall, and is close to everything you need - Rogers Arena/BC Place, Chinatown, Gastown, Yaletown, Watefront, Main Street, Science World, Olympic Village, some of Vancouver’s best restaurants including 2 Michelin Starred restaurants within 2 blocks - Kissa Tanto and Barbara - other nearby restaurants are Phnom Penh, L’Abatoir, Chambar, Di Beppe, Autostrada, Rodney’s Oyster bar, great sushi/ramen and more. Lots of coffee shops (Prado, Revolver, Finch’s, Matchstick) great pubs/lounges (Diamond, Keefer Bar, Guilt & Co, Local, The Pint), Rennie art gallery, Sun Yat-Sen Garden, grocery stores, movie theatres and great shopping all within close walking distance.  Rogers Arena and Stadium Skytrain station is <5 min walk/2 blocks away for easy commuting. Note, while the area is safe and gentrifying, this is downtown Vancouver so there are homeless and drug addicts. There is even an elementary school less than",293583929,Steve,within an hour,99%,99%,t,39,51,"Vancouver, British Columbia, Canada",Downtown Eastside,49.28187,-123.10757,Entire condo,Entire home/apt,5,,,2.0,[],$127.00,3,365,2.3,365.0,23,53,83,141,39,13,4.74,4.74,4.79,4.79,4.79,4.18,4.49,f,21,1.86,2949
4095,732271302755280925,Condo in Vancouver · ★4.60 · 1 bedroom · 1 bed · 1 bath,"This beautiful apartment is right in the heart of downtown. Between the great shopping area on Robson and the great nightlife of Granville Street close by, you'll be able to get the most out of your stay in Vancouver and explore the city easily by foot.",482587384,Lorenzo,within an hour,100%,98%,f,1,1,"Vancouver, British Columbia, Canada",Downtown,49.27893,-123.12512,Entire condo,Entire home/apt,2,,,1.0,[],$121.00,1,365,1.0,1125.0,0,0,0,0,80,73,4.6,4.63,4.74,4.38,4.56,4.75,4.46,t,1,5.63,1058
3897,695240607527412413,Guest suite in Vancouver · ★4.98 · 2 bedrooms · 2 beds · 1 bath,,88508513,Jasmine,within an hour,100%,98%,t,1,1,,Dunbar Southlands,49.2554,-123.1908,Entire guest suite,Entire home/apt,4,,,2.0,[],$212.00,2,1125,2.0,1125.0,0,0,0,0,52,46,4.98,4.94,4.98,4.96,5.0,4.94,4.83,f,1,3.38,1055
4338,770378616796361153,Rental unit in Vancouver · ★4.53 · 1 bedroom · 1 bed · 1 bath,,489486051,Kyle,within an hour,100%,99%,f,6,6,,Downtown,49.27575,-123.12794,Entire rental unit,Entire home/apt,2,,,1.0,[],$131.00,1,365,1.7,365.0,13,36,66,336,15,15,4.53,4.73,4.6,4.53,4.87,4.73,4.33,t,5,1.29,1026
5550,932939349234152439,Condo in Vancouver · ★4.82 · 2 bedrooms · 2 beds · 1 bath,"Olympic Village - Located in the heart of Vancouver. We are close to the beautiful False Creek Seawall, BC Place Stadium, Rogers Arena, gastropubs, thrift shops, restaurants, Science World, Chinatown and more.",73868299,Andi,within an hour,100%,98%,t,2,2,"Vancouver, British Columbia, Canada",Mount Pleasant,49.2686844,-123.1012954,Entire condo,Entire home/apt,4,,,2.0,[],$151.00,2,365,2.0,365.0,0,0,0,0,16,16,4.82,4.94,4.94,4.82,5.0,4.94,4.82,f,2,3.33,1384
3631,655188969724172137,Condo in Vancouver · ★4.65 · 2 bedrooms · 3 beds · 1 bath,"The International Village district of downtown is hyper central and convenient. Within a short walk are:<br />- Rogers Area<br />- Stadium SkyTrain Station<br />- T&T Supermarket<br />- Tinseltown Mall and Cinemas<br />- False Creek Waterfront<br />- Vancouver Seawall<br />- Parq Casino<br />- BC Place Stadium<br />- Gastown<br />- Chinatown<br />- Science World<br />- Pacific Central Station<br />- Many, many restaurants and stores<br /><br />Your unit includes secure, gated, assigned parking. The building has 24 hour security. Please note that although there is a 24-hour concierge, they are for residents, and Airbnb guests should direct questions toward their host.",349804247,El,within an hour,99%,100%,f,66,72,"Vancouver, British Columbia, Canada",Downtown,49.2789066,-123.1079972,Entire condo,Entire home/apt,4,,,3.0,[],$142.00,1,60,1.0,1125.0,16,37,57,105,116,82,4.65,4.68,4.67,4.62,4.64,4.66,4.47,f,43,6.55,468
4998,874176581116983932,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,,115094557,Darren,,,100%,f,2,4,,Kitsilano,49.2689339,-123.163512,Entire rental unit,Entire home/apt,2,,,1.0,[],$160.00,30,365,30.0,365.0,30,60,90,179,0,0,,,,,,,,f,1,,793
424,8721425,Home in Vancouver · ★4.78 · 1 bedroom · 1 shared bath,"Our neighbourhood has a ""Green"" designation.  It is quiet and safe.  There are many restaurants nearby on Cambie Street.",45774764,Carol,within a few hours,100%,98%,t,1,1,"Vancouver, British Columbia, Canada",Riley Park,49.24984,-123.11016,Private room in home,Private room,2,,,,[],$65.00,6,60,6.0,60.0,10,14,23,175,124,19,4.78,4.89,4.58,4.9,4.92,4.94,4.81,f,1,1.25,937
392,7917938,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,"Public transportation, parks, restaurants, cafes, supermarkets, wine store, banking, library, post office, pharmacy, performing arts venues within 1-3 blocks.",41746903,Coleen,within a day,100%,42%,t,3,3,"Vancouver, British Columbia, Canada",Downtown,49.27783,-123.11536,Entire rental unit,Entire home/apt,3,,,2.0,[],$195.00,60,90,60.0,90.0,28,58,88,363,3,0,5.0,5.0,5.0,4.67,5.0,5.0,4.33,f,3,0.05,1504
4983,872477656360128660,Home in Vancouver · ★4.95 · 3 bedrooms · 4 beds · 2 baths,"Welcome to our cozy neighborhood, located right beside the Playland/PNE amusement park! <br /><br />There a 5-8 min walk to the Kid Park (Callister Park),Track Field. Monster truck rally event if there one. Rolla for rollerstakes.<br /><br />10-15 min walk to Starbucks. Tim Hortons, Shoppers Drug Mart and Restaurants on (Renfrew St and E Hasting St )<br /><br />Super Market T & T supermaket, Fuku Ramen, frosty dessert Cafe, Rib & Chicken and kook korean BBq Restaurants on (Renfrew ST and E 1st Ave.)<br /><br />Just 15 minutes drive from downtown Vancouver, our location offers the perfect mix of excitement and convenience. You can spend the day at the amusement park, then head downtown to explore all that the city has to offer. If you prefer to stay closer to home, there are plenty of markets and bars in the neighborhood to keep you entertained. From our cozy and comfortable home, you can easily access everything the Playland neighborhood has to offer. We can't wait for you to experienc",167328182,Don,within an hour,100%,97%,t,3,3,"Vancouver, British Columbia, Canada",Hastings-Sunrise,49.28686029879047,-123.04812418325938,Entire home,Entire home/apt,7,,,4.0,[],$161.00,2,31,4.1,1125.0,4,15,45,129,42,42,4.95,4.95,4.95,4.93,5.0,4.76,4.93,f,3,5.48,5698
6638,1038056642871759897,Rental unit in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,"Discover the dynamic allure of the 688 Abbott neighbourhood in the heart of downtown Vancouver. This vibrant locale offers a blend of urban excitement and cultural richness, with iconic landmarks, trendy eateries, and entertainment options at your doorstep. Immerse yourself in the energetic atmosphere, explore nearby attractions like Rogers Arena and BC Place, or stroll through the historic Gastown district. Indulge in diverse dining experiences and embrace the convenience of easy access to public transportation. Whether you're a city explorer or seeking a cozy retreat, 688 Abbott promises a perfect blend of convenience and style for an unforgettable Vancouver stay.",549199565,Andrei,within a day,77%,71%,f,1,1,"Vancouver, British Columbia, Canada",Downtown,49.2788407,-123.1074143,Entire rental unit,Entire home/apt,4,,,2.0,[],$306.00,1,365,1.0,365.0,19,47,76,149,0,0,,,,,,,,f,1,,280
4200,749485983333805437,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,"Located in Vancouver Westside, quiet, elegant, safe and beautiful neighborhood. Very convenient place, just 10 minutes drive to Vancouver International Airport (YVR), McArthurGlen Designer Outlets, 15 minutes to UBC and 20 minutes to Downtown Vancouver.",255866156,Anna,,,100%,t,7,7,"Vancouver, British Columbia, Canada",Marpole,49.21174,-123.14651,Private room in home,Private room,2,,,1.0,[],$89.00,30,365,30.0,365.0,0,0,0,0,4,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0.3,895
2672,48920775,Rental unit in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 bath,"You are in the heart of the West End - 10 min walk to English Bay, 2 min to the boat to Granville Island. Davie Street where you can get a pedicure, a blood test, a drug store, grocery store, coffee shops, bars, restaurants, (Indian, Thai, Sushi, Donair, etc. 3 min walk). Couldn’t be in a better location - honestly! I’ve tried to show that in the photos",343195,Trish,within an hour,100%,95%,t,1,4,"Vancouver, British Columbia, Canada",West End,49.27993,-123.13312,Entire rental unit,Entire home/apt,2,,,1.0,[],$123.00,30,365,28.7,1125.0,29,29,30,251,23,12,4.91,5.0,4.91,4.91,5.0,5.0,4.83,f,1,0.81,1492
6111,985430168426223342,Home in Vancouver · 1 bedroom · 1 bed · 1 bath,,206443487,Na,within an hour,100%,100%,t,4,5,,Oakridge,49.228197805090005,-123.10652263265166,Private room in home,Private room,2,,,1.0,[],$55.00,7,90,7.0,90.0,13,30,45,45,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,0.94,2094
4502,798028138201131568,Rental unit in Vancouver · ★4.81 · 1 bedroom · 2 beds · 1 bath,"Very central location. Surrounded by restaurants, pubs, night clubs and shops. Short walk to Yaletown, Granville St Entertainment District, Stanley Park, and English Bay. <br /><br />Perfect location for attending a business event. Walking distance to Vancouver Art Gallery, Vancouver Convention Centre, the Law Courts, Sheraton Wall Center and  St Paul’s Hospital.<br /><br />There is a great gym  just around the corner Robert Lee YMCA; fitness classes, gym, yoga, indoor swimming pool (cost $27.99 for 2 weeks, unlimited use).",494499993,Izabela,within an hour,100%,100%,t,1,2,"Vancouver, British Columbia, Canada",Downtown,49.28062150376186,-123.1229508586542,Entire rental unit,Entire home/apt,3,,,2.0,[],$120.00,1,365,4.9,365.0,16,46,76,348,37,37,4.81,4.81,4.84,4.81,4.89,4.78,4.57,t,1,3.35,584
3493,630498959330341944,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,"Nice,quiet,safe",213150368,Jenny,within an hour,100%,97%,f,5,20,"Vancouver, British Columbia, Canada",Riley Park,49.23542425239884,-123.10921648770064,Private room in home,Private room,2,,,1.0,[],$99.00,1,365,1.0,365.0,13,43,73,275,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,4,0.58,1682
1459,29075223,Home in Vancouver · ★4.85 · 3 bedrooms · 4 beds · 1 bath,"We are in a residential neighborhood but immediately off of Kingsway, Street so you can walk to many coffee shops, restaurants and grocery stores within 15 minutes",207405048,Morgan,within an hour,100%,99%,t,5,5,"Vancouver, British Columbia, Canada",Renfrew-Collingwood,49.23699,-123.04737,Entire home,Entire home/apt,6,,,4.0,[],$239.00,2,1125,2.0,1125.0,10,10,10,10,13,9,4.85,5.0,4.85,5.0,5.0,4.85,4.92,f,5,0.21,3477
4818,850607283265920609,Rental unit in Vancouver · ★4.83 · 1 bedroom · 2 beds · 1 bath,,60564871,Alexandra,within an hour,100%,100%,f,1,1,,West End,49.27851095315378,-123.13469874037916,Entire rental unit,Entire home/apt,4,,,2.0,[],$132.00,3,1125,3.0,1125.0,17,41,58,184,6,6,4.83,4.83,4.83,4.33,4.33,5.0,4.67,t,1,1.21,2832
4417,782691713238716204,Serviced apartment in Vancouver · 2 bedrooms · 3 beds · 2 baths,"Yaletown might not be the oldest neighborhood in Vancouver, but it certainly isn’t lacking in historical value. The most significant landmark being Roundhouse Community Center, home to Engine 374; the first transcontinental passenger train to enter city limits. This trendy neighborhood is within close proximity to BC Place Stadium, Stanley Park, Rogers Arena, Vancouver Convention Center, and more. It is sure to meet the needs of both the business and leisure traveler. <br /><br />If you’re feeling adventurous, try these local hot-spots!<br /><br />Soul Cycle<br />This isn’t your average workout, it’s a lifestyle. And if you like challenging yourself, enjoy unique playlists and thrive under motivation then this is the place for you. <br />1128 Mainland St, Vancouver, BC<br /><br />Elisa Steakhouse<br />This eccentric steakhouse has taken your standard experience to a new level, adding a feminine twist and serving it straight from a Grillworks Infierno wood-fired grill. <br />1109 Hamilt",2502595,Level Hotels And Furnished Suites,within an hour,100%,86%,t,41,46,"Vancouver, British Columbia, Canada",Downtown,49.2739053,-123.126715,Entire serviced apartment,Entire home/apt,6,,,3.0,[],$395.00,31,1125,30.6,1125.0,0,26,56,331,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,41,0.1,2422
3835,687103539603489486,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,Situated in the West End of Downtown Vancouver,20953563,Aaron,,,,f,1,1,"Vancouver, British Columbia, Canada",West End,49.29014,-123.13571,Entire condo,Entire home/apt,2,,,1.0,[],$159.00,30,1125,28.7,1125.0,19,49,53,53,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0.12,509
5170,894360745255319791,Rental unit in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,"This Condo is located in the neighbourhood of Mount Pleasant right off of Main St. Known for its electric and vibrant environment, the Mount Pleasant neighbourhood has many unique stores, heritage buildings, artistic residents, and arts-focused festivals to explore. Incredible, restaurants, shops and bars within a couple minutes of walking distance!",227662329,Jordan,within an hour,100%,100%,f,168,232,"Vancouver, British Columbia, Canada",Mount Pleasant,49.26095422292863,-123.09884290833934,Entire rental unit,Entire home/apt,2,,,1.0,[],$35.00,1,365,30.0,1125.0,0,30,60,335,10,10,4.9,5.0,5.0,5.0,5.0,5.0,4.7,t,134,1.49,1756
